COLONIA,Geo Point,ALCALDIA
SAN BERNABE (BARR),"19.4679194567,-99.1737289615",AZCAPOTZALCO
EX HACIENDA SAN JUAN DE DIOS,"19.2880914999,-99.131820174",TLALPAN
GRANJAS COAPA ORIENTE,"19.2964529266,-99.108287704",TLALPAN
SAN JUAN DE ARAGON 1A SECCION (U HAB) I,"19.4560218036,-99.0928433502",GUSTAVO A. MADERO
CAMPESTRE ARAGON II,"19.4830247253,-99.0806946805",GUSTAVO A. MADERO
GABRIEL HERNANDEZ (AMPL) II,"19.5060559589,-99.1040658755",GUSTAVO A. MADERO
CAMPESTRE ARAGON I,"19.4878964569,-99.0786041614",GUSTAVO A. MADERO
SAN FELIPE DE JESUS III,"19.498990362,-99.0766115919",GUSTAVO A. MADERO
SAN PEDRO ZACATENCO (PBLO),"19.5069767478,-99.117573441",GUSTAVO A. MADERO
TABLAS DE SAN AGUSTIN,"19.4644279897,-99.1127633242",GUSTAVO A. MADERO
SANTIAGO ATEPETLAC,"19.5245551798,-99.1600654673",GUSTAVO A. MADERO
LA PRADERA,"19.4760002738,-99.0663427698",GUSTAVO A. MADERO
NUEVA TENOCHTITLAN,"19.4564100284,-99.1034317326",GUSTAVO A. MADERO
MARTIRES DE RIO BLANCO (AMPL),"19.4615603608,-99.1064471838",GUSTAVO A. MADERO
XALTOCAN (BARR),"19.2528342142,-99.1005431185",XOCHIMILCO
SAN ANDRES AHUAYUCAN (PBLO),"19.2172463589,-99.1065992039",XOCHIMILCO
SANTA CRUZ XOCHITEPEC (PBLO),"19.2549237647,-99.1333048351",XOCHIMILCO
LA ASUNCION (BARR),"19.2716677106,-99.0984661957",XOCHIMILCO
SAN MARCOS (BARR),"19.2631694092,-99.1111586679",XOCHIMILCO
OCOTLA - OCOTLA CHICO,"19.2120758029,-99.167241907",TLALPAN
TECORRAL,"19.2597832126,-99.1667741074",TLALPAN
SANTISIMA TRINIDAD,"19.2719746955,-99.1860284075",TLALPAN
VALLE VERDE,"19.2458056906,-99.1434302857",TLALPAN
CRISTO REY,"19.250754014,-99.0150184137",XOCHIMILCO
LOMA BONITA-AMPLIACION TEPEXIMILPA,"19.2701874323,-99.1923272603",TLALPAN
LA FORESTAL 2,"19.5687146714,-99.1256859396",GUSTAVO A. MADERO
LA PASTORA,"19.5276450764,-99.1357630076",GUSTAVO A. MADERO
JORGE NEGRETE,"19.5263550421,-99.1432502723",GUSTAVO A. MADERO
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 1 (U HAB),"19.2921700968,-99.1285207412",TLALPAN
LOMAS DEL PEDREGAL,"19.2738916573,-99.2182921681",TLALPAN
CUCHILLA RAMOS MILLAN,"19.3875231918,-99.0920343133",IZTACALCO
SANTA APOLONIA (BARR),"19.4756970223,-99.191574882",AZCAPOTZALCO
SANTO TOMAS,"19.4858838616,-99.177047766",AZCAPOTZALCO
SECTOR NAVAL,"19.4700239768,-99.1770252989",AZCAPOTZALCO
SANTA CRUZ DE LAS SALINAS,"19.4875742334,-99.1546459611",AZCAPOTZALCO
EMILIANO ZAPATA 1A,"19.2086726417,-98.9725421506",TLAHUAC
3 DE MAYO,"19.2974568669,-98.9911966871",TLAHUAC
SANTA CECILIA,"19.2791694024,-99.006519451",TLAHUAC
QUIAHUATLA,"19.2604884749,-99.0038976705",TLAHUAC
ARENAL,"19.4652942835,-99.1520094444",AZCAPOTZALCO
TLAZINTLA,"19.396203998,-99.1117999834",IZTACALCO
BELEN DE LAS FLORES,"19.3956318995,-99.2170290842",ALVARO OBREGON
HOGARES FERROCARRILEROS (U HAB),"19.4735432896,-99.1651509116",AZCAPOTZALCO
DEMET (U HAB),"19.4874554661,-99.1809079876",AZCAPOTZALCO
LOMAS DE AXOMIATLA,"19.3431828476,-99.2519763127",ALVARO OBREGON
LA PERA XOCHINAHUAC (U HAB),"19.3591536495,-99.2276594393",ALVARO OBREGON
MOLINO DE ROSAS,"19.3720650774,-99.2007195658",ALVARO OBREGON
LOMAS DE LOS CEDROS,"19.3253076787,-99.2574807277",ALVARO OBREGON
SAN SIMON TOLNAHUAC,"19.4595317038,-99.1431802383",CUAUHTEMOC
19 DE MAYO,"19.3619010138,-99.2533186515",ALVARO OBREGON
ASTURIAS,"19.4046308544,-99.1312401576",CUAUHTEMOC
BUENAVISTA II,"19.4421892858,-99.1513520907",CUAUHTEMOC
SAN PEDRO DE LOS PINOS,"19.3888622721,-99.1916992766",ALVARO OBREGON
SANTA LUCIA (PBLO),"19.3582823592,-99.2569985365",ALVARO OBREGON
PARAJE EL CABALLITO,"19.3153569742,-99.2732448612",ALVARO OBREGON
CENTRO VI,"19.4247184898,-99.1346482655",CUAUHTEMOC
CENTRO VIII,"19.4315052317,-99.1463947881",CUAUHTEMOC
PARAJE ZACATEPEC,"19.35503055,-99.0184521787",IZTAPALAPA
PEON VIEJO (U HAB),"19.3762269024,-99.0294800863",IZTAPALAPA
PURISIMA I,"19.3640191563,-99.0537547992",IZTAPALAPA
PERALVILLO I,"19.4627292503,-99.1374326001",CUAUHTEMOC
ROMA NORTE II,"19.421384627,-99.1588454263",CUAUHTEMOC
ALLEPETLALI (U HAB),"19.2887511942,-99.0671328816",IZTAPALAPA
ARBOLEDAS,"19.3127514264,-99.0482842276",IZTAPALAPA
CONCORDIA ZARAGOZA (U HAB),"19.3680759422,-99.0078261552",IZTAPALAPA
HUITZICO-LA POBLANITA,"19.32585394,-98.9790799158",IZTAPALAPA
GRANJAS ESMERALDA,"19.3537999824,-99.1173645608",IZTAPALAPA
FUERTE DE LORETO - LA ANTENA (U HAB),"19.3647197075,-99.0300390619",IZTAPALAPA
SAN JOSE (BARR),"19.3705874509,-99.0918815491",IZTAPALAPA
SAN JUAN JOYA (PJE),"19.3364819587,-99.0655212336",IZTAPALAPA
SANTA BARBARA (BARR) I,"19.3597012736,-99.1028282821",IZTAPALAPA
TEXCOCO EL SALADO,"19.3740915625,-99.005078883",IZTAPALAPA
LOMAS DE LA ESTANCIA I,"19.3392434488,-99.0065476988",IZTAPALAPA
LOMAS ESTRELLA 2A SECC II,"19.3170675936,-99.0936479434",IZTAPALAPA
SANTA CRUZ MEYEHUALCO (U HAB) I,"19.3460514034,-99.0390117031",IZTAPALAPA
LA RETAMA,"19.3758799842,-99.2890305556",CUAJIMALPA DE MORELOS
XALPA,"19.3111259961,-99.3300030813",CUAJIMALPA DE MORELOS
BATAN VIEJO (EL MAESTRO),"19.3359169415,-99.2123503204",LA MAGDALENA CONTRERAS
POTRERILLO (AMPL),"19.3077081328,-99.2588220467",LA MAGDALENA CONTRERAS
SUBESTACION,"19.2906488094,-99.2440777866",LA MAGDALENA CONTRERAS
MIXCOAC,"19.372884049,-99.1900032071",BENITO JUAREZ
SAN JUAN,"19.3783640536,-99.1846839212",BENITO JUAREZ
STA CRUZ ATOYAC,"19.3681589306,-99.1607619028",BENITO JUAREZ
DEL VALLE III,"19.3873584786,-99.1675556934",BENITO JUAREZ
DEL VALLE VI,"19.3757198663,-99.1642553397",BENITO JUAREZ
PORTALES II,"19.3671996695,-99.1488177919",BENITO JUAREZ
AGRICULTURA,"19.4504774082,-99.1655203747",MIGUEL HIDALGO
ANAHUAC DOS LAGOS,"19.4434877858,-99.1894691303",MIGUEL HIDALGO
MODELO PENSIL,"19.4464153475,-99.1898045642",MIGUEL HIDALGO
POPO,"19.4457823588,-99.1998754924",MIGUEL HIDALGO
REFORMA PENSIL,"19.4491321118,-99.192927882",MIGUEL HIDALGO
VENTURA PEREZ DE ALBA,"19.4532592779,-99.195727852",MIGUEL HIDALGO
16 DE SEPTIEMBRE,"19.4020986827,-99.2071010217",MIGUEL HIDALGO
BOSQUES DE TETLAMEYA,"19.3016938684,-99.1528284988",COYOACAN
ESPARTACO,"19.3175487457,-99.1360285209",COYOACAN
JARDINES DEL PEDREGAL,"19.3059286486,-99.1900269439",COYOACAN
LAS CABAAS,"19.3109074146,-99.1268629453",COYOACAN
PRADOS DE COYOACAN,"19.3188591661,-99.1326761949",COYOACAN
PASEOS DE TAXQUEA II,"19.3423866583,-99.1258788208",COYOACAN
PEDREGAL DE STO DOMINGO IV,"19.328764804,-99.1666853021",COYOACAN
ALTILLO (COND ALTILLO ACASULCO),"19.3417791842,-99.18123088",COYOACAN
FIVIPORT (U HAB),"19.4262859691,-99.0607626432",VENUSTIANO CARRANZA
REVOLUCION,"19.439002299,-99.1037592628",VENUSTIANO CARRANZA
10 DE MAYO,"19.4335166035,-99.1179899304",VENUSTIANO CARRANZA
24 DE ABRIL,"19.4153745974,-99.1165511647",VENUSTIANO CARRANZA
ARBOLEDAS DE CUAUTEPEC,"19.5626711945,-99.1191891866",GUSTAVO A. MADERO
CUAUTEPEC DE MADERO,"19.5455103,-99.1387289006",GUSTAVO A. MADERO
CERRO PRIETO,"19.4527389912,-99.0982123664",GUSTAVO A. MADERO
COCOYOTES (AMPL),"19.5508781739,-99.1279586658",GUSTAVO A. MADERO
AIDEE SOLS CRDENAS-MATAS ROMERO (U HAB),"19.5333858774,-99.1466927503",GUSTAVO A. MADERO
DEFENSORES DE LA REPUBLICA,"19.4751269126,-99.142585619",GUSTAVO A. MADERO
MAGDALENA DE LAS SALINAS,"19.4827766058,-99.1380820042",GUSTAVO A. MADERO
LOMAS DE CUAUTEPEC,"19.570901803,-99.1379577124",GUSTAVO A. MADERO
SALVADOR DIAZ MIRON,"19.488167642,-99.097748665",GUSTAVO A. MADERO
LA FORESTAL 3,"19.5691102196,-99.1293113483",GUSTAVO A. MADERO
LA CRUZ (BARR),"19.4926119519,-99.1020574709",GUSTAVO A. MADERO
SAN LORENZO ATEMOAYA (PBLO),"19.2398267151,-99.1007881266",XOCHIMILCO
TLAXOPAN,"19.2332388931,-99.1394040895",XOCHIMILCO
LA NORIA,"19.262957816,-99.122791852",XOCHIMILCO
SAN ANTONIO TECOMITL (PBLO),"19.2128732956,-98.9930097011",MILPA ALTA
SAN JERONIMO MIACATLAN (PBLO),"19.188815365,-99.0047619654",MILPA ALTA
LA ESMERALDA III,"19.4853847421,-99.084335542",GUSTAVO A. MADERO
JOYA DE VARGAS,"19.2340151453,-99.092148464",XOCHIMILCO
SAN ANTONIO (BARR),"19.2630713673,-99.1069879612",XOCHIMILCO
NATIVITAS,"19.2489419378,-99.0106577235",XOCHIMILCO
NARCISO MENDOZA VILLA COAPA SUPERMANZANA 8 (U HAB),"19.2949520584,-99.1202408834",TLALPAN
RINCONADA DEL SUR (U HAB),"19.2596516126,-99.1203178571",XOCHIMILCO
ISIDRO  FABELA (AMPL),"19.2981437323,-99.1708224892",TLALPAN
MIRADOR DEL VALLE,"19.2562293796,-99.182371734",TLALPAN
SAN MIGUEL AJUSCO (PBLO),"19.2278384745,-99.196806531",TLALPAN
MIRADOR I,"19.2714138701,-99.2193979119",TLALPAN
RESIDENCIAL INSURGENTES SUR (U HAB),"19.2791156267,-99.1722004512",TLALPAN
SN JUAN  TEPEXIMILPA (AMPL),"19.2726950038,-99.1928387796",TLALPAN
CULTURA MAYA,"19.2758863423,-99.2230166175",TLALPAN
SANTA ISABEL TOLA (PBLO),"19.497917649,-99.1142315413",GUSTAVO A. MADERO
VERONICA CASTRO,"19.5733834979,-99.1288818686",GUSTAVO A. MADERO
TLACAMACA,"19.474398255,-99.1366754308",GUSTAVO A. MADERO
SUTIC VALLEJO (U HAB),"19.5160866927,-99.1396415185",GUSTAVO A. MADERO
HEROES DE PADIERNA I,"19.2859029752,-99.2240520364",TLALPAN
VILLA OLIMPICA LIBERADOR MIGUEL HIDALGO (U HAB),"19.2974316501,-99.1872234057",TLALPAN
SECCION XVI,"19.2917451661,-99.1576224067",TLALPAN
CUCHILLA AGRICOLA ORIENTAL,"19.404755574,-99.0806644078",IZTACALCO
TEOZOMA,"19.3202707233,-98.9719328522",TLAHUAC
SELENE 1a SECC,"19.2923840939,-99.0030293696",TLAHUAC
SANTO DOMINGO (PBLO),"19.488221672,-99.1913275059",AZCAPOTZALCO
ACUEDUCTO,"19.397885182,-99.2042899207",ALVARO OBREGON
SANTA CATARINA (PBLO),"19.4921308947,-99.1746611469",AZCAPOTZALCO
PLENITUD,"19.4729183065,-99.1949966011",AZCAPOTZALCO
PATRIMONIO FAMILIAR,"19.4674185792,-99.1497927716",AZCAPOTZALCO
LAS SALINAS,"19.4875623399,-99.1647915027",AZCAPOTZALCO
LA CONCHITA I,"19.2864878255,-99.0383908272",TLAHUAC
ANGEL ZIMBRON,"19.4677940841,-99.1891178561",AZCAPOTZALCO
AGUILERA,"19.4728453807,-99.1557459509",AZCAPOTZALCO
VILLAS DE LOS TRABAJADORES (GDF) (U HAB),"19.2807875173,-99.0521197297",TLAHUAC
ECOLOGICA NOVEDADES IMPACTO (U HAB),"19.5079972636,-99.1904909746",AZCAPOTZALCO
TRANSITO,"19.4178611105,-99.1315091546",CUAUHTEMOC
HIPODROMO CONDESA,"19.4093352026,-99.1794803853",CUAUHTEMOC
EX HIPODROMO DE PERALVILLO,"19.4566624075,-99.1347779305",CUAUHTEMOC
SANTA MARIA NONOALCO,"19.3806980842,-99.1930730511",ALVARO OBREGON
PRADOS LA PROVIDENCIA,"19.3573553373,-99.2381825175",ALVARO OBREGON
SEARS ROEBUCK (U HAB),"19.4008889721,-99.195157642",ALVARO OBREGON
LOMAS DE GUADALUPE,"19.3444013035,-99.2431938874",ALVARO OBREGON
LOMAS DE CHAMONTOYA,"19.3170165912,-99.268434575",ALVARO OBREGON
MINAS DE CRISTO,"19.3808637658,-99.1984019253",ALVARO OBREGON
LOMAS DE CAPULIN,"19.3104750424,-99.2717178529",ALVARO OBREGON
MARIA G DE GARCIA RUIZ,"19.3877237484,-99.2116366432",ALVARO OBREGON
LOMAS DE LOS ANGELES TETELPAN,"19.343515309,-99.2138016968",ALVARO OBREGON
MOLINO DE ROSAS (AMPL),"19.3699044009,-99.2015220718",ALVARO OBREGON
BARRIO NORTE,"19.378639232,-99.2073475179",ALVARO OBREGON
CANUTILLO 3RA SECCION,"19.3627114497,-99.2267132095",ALVARO OBREGON
TETELPAN (PBLO),"19.3421282914,-99.2254307598",ALVARO OBREGON
TEPEACA,"19.3586691686,-99.2365343154",ALVARO OBREGON
JALALPA EL GRANDE,"19.3696391962,-99.2428942099",ALVARO OBREGON
LA CONCHITA,"19.3916864792,-99.2076913945",ALVARO OBREGON
GALEANA,"19.3710349467,-99.2243251092",ALVARO OBREGON
GRANJAS MEXICO II,"19.4019151229,-99.0903769668",IZTACALCO
MILITAR MARTE,"19.3810242212,-99.1286365114",IZTACALCO
RAMOS MILLAN BRAMADERO II,"19.3923892858,-99.0925435258",IZTACALCO
GABRIEL RAMOS MILLAN,"19.3930730192,-99.1017491985",IZTACALCO
AGRICOLA ORIENTAL VIII,"19.3875438857,-99.062623213",IZTACALCO
CENTRO I,"19.441997265,-99.1325129751",CUAUHTEMOC
HIPODROMO I,"19.4121695524,-99.1693626554",CUAUHTEMOC
ALVARO OBREGON_(FRACC),"19.3732410988,-99.0362311647",IZTAPALAPA
ROMA NORTE III,"19.4147537971,-99.1600548176",CUAUHTEMOC
ROMA SUR II,"19.4040153783,-99.1633006972",CUAUHTEMOC
AVANTE,"19.3282199085,-99.1346491977",COYOACAN
POLANCO REFORMA (POLANCO),"19.4348313799,-99.1961305015",MIGUEL HIDALGO
LOMA DEL PADRE,"19.3432048429,-99.313967117",CUAJIMALPA DE MORELOS
LOMAS DE MEMETLA,"19.3567439251,-99.2879629485",CUAJIMALPA DE MORELOS
JARDINES DE LA PALMA (HUIZACHITO),"19.3707939885,-99.2809727301",CUAJIMALPA DE MORELOS
CACALOTE,"19.3699861284,-99.2956800934",CUAJIMALPA DE MORELOS
2A AMPLIACION SANTIAGO ACAHUALTEPEC II,"19.3461780507,-99.0088364538",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 6 (U HAB),"19.3557690158,-99.0563656019",IZTAPALAPA
TENORIOS,"19.3315376788,-99.02154729",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 3 (U HAB),"19.3608527601,-99.0553333727",IZTAPALAPA
SINATEL (AMPL),"19.3653852168,-99.1300154776",IZTAPALAPA
STA ISABEL INDUSTRIAL,"19.3521788743,-99.1047376173",IZTAPALAPA
VERACRUZANA (AMPL),"19.3507519992,-99.0901129196",IZTAPALAPA
SAN JUANICO NEXTIPAC (PBLO),"19.3740469786,-99.1188027388",IZTAPALAPA
SAN LORENZO TEZONCO (BARR),"19.3037395367,-99.0691937166",IZTAPALAPA
PLUTARCO ELIAS CALLES (U HAB),"19.3540226243,-99.0650811483",IZTAPALAPA
EL TANQUE,"19.325119803,-99.2510112527",LA MAGDALENA CONTRERAS
LA MAGDALENA ATLITIC (PBLO),"19.3020079658,-99.2459457534",LA MAGDALENA CONTRERAS
IXTLAHUALTONGO,"19.2770159486,-99.2501066251",LA MAGDALENA CONTRERAS
INDEPENDENCIA BATAN NORTE (U HAB),"19.3351306206,-99.2098571386",LA MAGDALENA CONTRERAS
IGNACIO ZARAGOZA (U HAB),"19.3851550458,-99.0403878623",IZTAPALAPA
LOMAS EL MANTO,"19.3510367269,-99.0871141017",IZTAPALAPA
EL MANTO PLAN DE IGUALA,"19.353060352,-99.0851869079",IZTAPALAPA
DR ALFONSO ORTIZ TIRADO,"19.3854169212,-99.0791413672",IZTAPALAPA
NARVARTE II,"19.3970602369,-99.1530323945",BENITO JUAREZ
POSTAL,"19.390795969,-99.141966075",BENITO JUAREZ
OCHO DE AGOSTO,"19.394118322,-99.1870611116",BENITO JUAREZ
AMERICAS UNIDAS-DEL LAGO,"19.3818546447,-99.1416770553",BENITO JUAREZ
EXTREMADURA INSURGENTES,"19.3770350125,-99.1798693519",BENITO JUAREZ
MOLINO DEL REY,"19.4237559071,-99.203290176",MIGUEL HIDALGO
LOS GIRASOLES II,"19.3054665781,-99.1234643154",COYOACAN
LOS SAUCES (FRACC),"19.3038539029,-99.1165198232",COYOACAN
AMPLIACION SAN FRANCISCO CULHUACAN (EJ),"19.335301831,-99.1257074664",COYOACAN
SAN PABLO TEPETLAPA (PBLO),"19.3234555103,-99.1423243912",COYOACAN
VIEJO EJIDO SANTA URSULA COAPA,"19.3044537189,-99.1418620636",COYOACAN
PEDREGAL DE STO DOMINGO VIII,"19.3232871242,-99.171712257",COYOACAN
EL ARENAL 3A SECCION,"19.4253285415,-99.0565176271",VENUSTIANO CARRANZA
EL ARENAL 4A SECCION,"19.4293912667,-99.0573267383",VENUSTIANO CARRANZA
JARDIN BALBUENA II,"19.4179173469,-99.1138562365",VENUSTIANO CARRANZA
DE LA CANDELARIA (PBLO),"19.3314227506,-99.1490773948",COYOACAN
CTM VI CULHUACAN (U HAB),"19.323535271,-99.1179312347",COYOACAN
EX HACIENDA COAPA,"19.3101593873,-99.1354074188",COYOACAN
IMAN 580 (U HAB),"19.3104176662,-99.1718015707",COYOACAN
LA MAGDALENA CULHUACAN (BARR),"19.3421501931,-99.1187266027",COYOACAN
LA LOMA,"19.3702674129,-99.2489895772",ALVARO OBREGON
LIBERACION PROLETARIA,"19.3814649224,-99.2297944055",ALVARO OBREGON
LOPEZ PORTILLO,"19.3090018876,-99.0208497074",TLAHUAC
SAN JUAN IXTAYOPAN (PBLO),"19.2453061016,-98.9950184535",TLAHUAC
JAIME TORRES BODET,"19.230429151,-98.9987550743",TLAHUAC
LA CONCHITA II,"19.2836289121,-99.0323207737",TLAHUAC
SAN JOSE,"19.2716370692,-98.985443234",TLAHUAC
MIGUEL HIDALGO OTE,"19.2915810102,-99.0437386374",TLAHUAC
SAN MIGUEL,"19.391971818,-99.1174169059",IZTACALCO
PANTITLAN I,"19.4169642758,-99.0662989506",IZTACALCO
CAMPAMENTO 2 DE OCTUBRE I,"19.3847089329,-99.1139142823",IZTACALCO
JUVENTINO ROSAS II,"19.3911075139,-99.1062053349",IZTACALCO
PANTITLAN II,"19.4168692206,-99.0594924558",IZTACALCO
SANTIAGO NORTE,"19.392178871,-99.1247372149",IZTACALCO
EUZKADI,"19.477680937,-99.1606970488",AZCAPOTZALCO
JARDINES CEYLAN (U HAB),"19.4824458729,-99.1646501959",AZCAPOTZALCO
PRADOS DEL ROSARIO,"19.5035717574,-99.20943293",AZCAPOTZALCO
LIBERACION,"19.4707750701,-99.1523647869",AZCAPOTZALCO
SANTA MARIA MALINALCO (PBLO),"19.4781258231,-99.1819027464",AZCAPOTZALCO
CALZADA JALALPA,"19.3816948036,-99.2238651624",ALVARO OBREGON
EL ARBOL,"19.3803214523,-99.2357760669",ALVARO OBREGON
CAADA DEL OLIVAR (U HAB),"19.3693168983,-99.2095598009",ALVARO OBREGON
OLIVAR DE LOS PADRES,"19.3368485922,-99.2305344478",ALVARO OBREGON
MILPA DEL CEDRO,"19.3537163394,-99.2569091113",ALVARO OBREGON
GOLONDRINAS,"19.3785224117,-99.2132912071",ALVARO OBREGON
EMANCIPACION DEL PUEBLO,"19.3604046703,-99.2385171963",ALVARO OBREGON
PALMAS,"19.3763736167,-99.2129232329",ALVARO OBREGON
SAN ANGEL INN,"19.3490638541,-99.1979172716",ALVARO OBREGON
PUENTE COLORADO,"19.348266529,-99.2311015912",ALVARO OBREGON
TARANGO (U HAB),"19.3608037174,-99.2239124686",ALVARO OBREGON
1RA VICTORIA SECCION BOSQUES,"19.387225827,-99.1978002208",ALVARO OBREGON
GUERRERO II,"19.4470270735,-99.1395504054",CUAUHTEMOC
VISTA ALEGRE,"19.4101695171,-99.1328548616",CUAUHTEMOC
MORELOS II,"19.4466164805,-99.1267229296",CUAUHTEMOC
FELIPE PESCADOR,"19.4540778349,-99.1261688105",CUAUHTEMOC
BONDOJITO,"19.4669013795,-99.1110468072",GUSTAVO A. MADERO
CUCHILLA LA JOYA,"19.4583874589,-99.1109242086",GUSTAVO A. MADERO
EL ARBOLILLO 1 (U HAB),"19.5299595267,-99.1480478267",GUSTAVO A. MADERO
EDUARDO MOLINA I (U HAB),"19.4836235665,-99.0905886085",GUSTAVO A. MADERO
LA SANTISIMA (BARR),"19.2633179042,-99.0906173608",XOCHIMILCO
CLUB DE GOLF MEXICO-SAN BUENAVENTURA,"19.2805472342,-99.1562245861",TLALPAN
ISSSFAM No. 1 (U HAB)-VILLA TLALPAN,"19.2782769569,-99.1624628813",TLALPAN
CUCHILLA DE PADIERNA,"19.2761961564,-99.2183774811",TLALPAN
LOMAS DE CUILOTEPEC,"19.2707235268,-99.2324713964",TLALPAN
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 2 (U HAB),"19.2893182716,-99.1273743425",TLALPAN
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 3 (U HAB),"19.2874501588,-99.1241793699",TLALPAN
PEDREGAL DE SN NICOLAS 2A SECC,"19.2888117484,-99.2352818832",TLALPAN
ROMULO SANCHEZ-SAN FERNANDO (BARR)-PEA POBRE,"19.2973172843,-99.1803637605",TLALPAN
SN JUAN TEPEXIMILPA,"19.272749946,-99.1904273874",TLALPAN
ZACATIENDA,"19.2582461564,-99.1640963239",TLALPAN
SAN LORENZO,"19.2791265995,-99.1255980235",XOCHIMILCO
TRES FUENTES (U HAB),"19.2982808989,-99.1216064339",TLALPAN
VALLEJO PONIENTE,"19.4679482997,-99.1417059919",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 1A SECCION (U HAB) II,"19.4623856599,-99.0923706981",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 6A SECCION (U HAB) II,"19.4665433881,-99.0640339756",GUSTAVO A. MADERO
PROVIDENCIA II,"19.4840741764,-99.0675106725",GUSTAVO A. MADERO
LA CANDELARIA TICOMAN (BARR),"19.5211733968,-99.1366634844",GUSTAVO A. MADERO
HEROES DE CHAPULTEPEC,"19.4739403721,-99.0914358306",GUSTAVO A. MADERO
HORNOS DE ARAGON (U HAB),"19.4711456522,-99.0803640554",GUSTAVO A. MADERO
EL CONTADERO,"19.3450577167,-99.2963481811",CUAJIMALPA DE MORELOS
EL TIANGUILLO,"19.3251139872,-99.3217684652",CUAJIMALPA DE MORELOS
LEYES DE REFORMA 3A SECCION I,"19.3805144875,-99.0686186477",IZTAPALAPA
EBANO (U HAB),"19.3739140504,-99.2893301006",CUAJIMALPA DE MORELOS
INDEPENDENCIA SAN RAMON (U HAB),"19.332458798,-99.2181660069",LA MAGDALENA CONTRERAS
LA CRUZ,"19.3085863467,-99.2344937399",LA MAGDALENA CONTRERAS
EL ERMITAO,"19.3016216169,-99.2657204291",LA MAGDALENA CONTRERAS
LA GUADALUPE,"19.3065747833,-99.2319857242",LA MAGDALENA CONTRERAS
LOS PADRES,"19.3198377904,-99.2484454036",LA MAGDALENA CONTRERAS
LA MALINCHE,"19.3231776438,-99.2414905552",LA MAGDALENA CONTRERAS
ALBERT,"19.3705739851,-99.13938982",BENITO JUAREZ
MODERNA,"19.395254545,-99.1346460986",BENITO JUAREZ
BUENAVISTA II,"19.326727807,-99.0294003392",IZTAPALAPA
SANTA MARTHA ACATITLA_(PBLO),"19.3594191216,-99.0083584195",IZTAPALAPA
CHINAMPAC DE JUAREZ II,"19.3736253381,-99.0464122469",IZTAPALAPA
SAN MIGUEL (BARR),"19.3580064908,-99.0783200561",IZTAPALAPA
PURISIMA ATLAZOLPA,"19.3800861297,-99.1085737787",IZTAPALAPA
REAL DEL MORAL (FRACC),"19.3900510159,-99.0822504986",IZTAPALAPA
M MAZA DE JUAREZ (U HAB),"19.3698194807,-99.0698013824",IZTAPALAPA
MINERVA,"19.3531457521,-99.109903487",IZTAPALAPA
IXTLAHUACAN,"19.3441975918,-98.998443331",IZTAPALAPA
HEROES DE CHURUBUSCO,"19.3611648792,-99.1181873325",IZTAPALAPA
LA COLMENA,"19.3695513525,-99.00263808",IZTAPALAPA
EJTO CONSTITUCIONALISTA,"19.3823731062,-99.0483523033",IZTAPALAPA
ACULCO (PBLO),"19.3736704292,-99.1046764758",IZTAPALAPA
CARMEN SERDAN ( U HAB),"19.2992823171,-99.0800713709",IZTAPALAPA
SANTA MARIA LA RIBERA II,"19.4492196589,-99.1585070117",CUAUHTEMOC
BELLAVISTA (U HAB),"19.3301922842,-99.0710679598",IZTAPALAPA
ALCANFORES (U HAB),"19.3353990544,-99.0712683967",IZTAPALAPA
BOSQUES DE LAS LOMAS,"19.4035606676,-99.2440518995",MIGUEL HIDALGO
ESCANDON I,"19.4040332209,-99.1781712497",MIGUEL HIDALGO
ESCANDON II,"19.3999943604,-99.1795639374",MIGUEL HIDALGO
POPOTLA I,"19.4568249082,-99.1779019651",MIGUEL HIDALGO
SAN MIGUEL CHAPULTEPEC I,"19.4148567446,-99.1904160058",MIGUEL HIDALGO
CARMEN SERDAN,"19.3197115876,-99.108305878",COYOACAN
CIUDAD UNIVERSITARIA,"19.3219065701,-99.1851814913",COYOACAN
EL ROSEDAL I,"19.3415588767,-99.151280652",COYOACAN
SANTA CATARINA (BARR),"19.348314886,-99.173563485",COYOACAN
VILLA PANAMERICANA 4TA. SECCIN (U HAB),"19.3069976365,-99.1695134365",COYOACAN
VILLA PANAMERICANA 5TA. SECCIN (U HAB),"19.309220017,-99.1682114303",COYOACAN
VILLA QUIETUD (FRACC),"19.3035595998,-99.1041974986",COYOACAN
AJUSCO II,"19.3201562929,-99.1612606994",COYOACAN
AJUSCO III,"19.3136401103,-99.164834516",COYOACAN
PEDREGAL DE STO DOMINGO II,"19.3335417377,-99.1615851002",COYOACAN
MAGDALENA  MIXHUCA (PBLO),"19.4101920673,-99.1162522721",VENUSTIANO CARRANZA
MORELOS I,"19.4448284354,-99.1230601603",VENUSTIANO CARRANZA
PENSADOR MEXICANO II,"19.4417920512,-99.0885066854",VENUSTIANO CARRANZA
NATIVITAS,"19.3816589097,-99.1372833875",BENITO JUAREZ
SAN SIMON TICUMAC,"19.3748890916,-99.1446431922",BENITO JUAREZ
