COLONIA,Geo Point,ALCALDIA
EX-HACIENDA EL ROSARIO,"19.4983532313,-99.2098381834",AZCAPOTZALCO
TEPANTITLAMILCO,"19.2206099466,-98.9707006046",TLAHUAC
TIERRA Y LIBERTAD,"19.2608661139,-99.0068713417",TLAHUAC
CUITLHUAC 1 Y 2 (U HAB),"19.4722153452,-99.1672680077",AZCAPOTZALCO
JUAREZ,"19.4270038256,-99.1616054122",CUAUHTEMOC
SANTA MARIA (U HAB),"19.4564342667,-99.157053889",CUAUHTEMOC
SAN BARTOLO AMEYALCO (PBLO),"19.3303063838,-99.269901144",ALVARO OBREGON
TECOLALCO,"19.3787216082,-99.2374067583",ALVARO OBREGON
PUEBLO NUEVO,"19.3810899141,-99.2384448233",ALVARO OBREGON
PODER POPULAR,"19.3638471974,-99.2024741871",ALVARO OBREGON
PARQUE RESIDENCIAL SAN ANTONIO (U HAB),"19.386762383,-99.1924983439",ALVARO OBREGON
LIBERALES DE 1857,"19.3935551206,-99.212576208",ALVARO OBREGON
LOMAS DE SANTA FE,"19.386774773,-99.2411863746",ALVARO OBREGON
DOS RIOS,"19.3572691172,-99.2458406707",ALVARO OBREGON
AXOTLA,"19.3583902692,-99.1749397946",ALVARO OBREGON
EL CAPULIN (AMPL),"19.3970501039,-99.2091242419",ALVARO OBREGON
UNION OLIVOS,"19.3643547993,-99.2507127519",ALVARO OBREGON
PREDIO LA ANGOSTURA,"19.3294455538,-99.2377868125",ALVARO OBREGON
GARCIMARRERO REACOMODO,"19.3662068721,-99.2349374733",ALVARO OBREGON
GARCIMARRERO,"19.3651992506,-99.2372253368",ALVARO OBREGON
LA HERRADURA,"19.3462562142,-99.2095211273",ALVARO OBREGON
AGRICOLA ORIENTAL IV,"19.4003324543,-99.0680304942",IZTACALCO
ZAPOTLA,"19.3954182244,-99.1212826059",IZTACALCO
CENTRO II,"19.4398500953,-99.1285178964",CUAUHTEMOC
ROMA NORTE I,"19.4194185761,-99.1691619817",CUAUHTEMOC
CENTRO IV,"19.4336362466,-99.1360300552",CUAUHTEMOC
ROMA SUR I,"19.4088498024,-99.1613175937",CUAUHTEMOC
SAN RAFAEL I,"19.4371086313,-99.1594601774",CUAUHTEMOC
AMPLIACION CANDELARIA,"19.328214086,-99.1500596134",COYOACAN
SAN JOAQUIN,"19.4538864184,-99.2082384537",MIGUEL HIDALGO
VERONICA ANZURES,"19.4364110927,-99.1744579154",MIGUEL HIDALGO
SANTO TOMAS,"19.4518077197,-99.1702122463",MIGUEL HIDALGO
TATA LZARO,"19.4487007006,-99.2110319337",MIGUEL HIDALGO
SAN LORENZO ACOPILCO (PBLO),"19.3329995915,-99.3246233397",CUAJIMALPA DE MORELOS
ABDIAS GARCIA SOTO,"19.3517180933,-99.2927079954",CUAJIMALPA DE MORELOS
PREDIO SANTA CRUZ MEYEHUALCO,"19.3516651496,-99.0483154308",IZTAPALAPA
LOMAS DE LA ESTANCIA II,"19.3352447344,-99.0103651081",IZTAPALAPA
CERRO DE LA ESTRELLA I,"19.3255243254,-99.0783511476",IZTAPALAPA
STA MARTHA ACATITLA NTE (AMPL) II,"19.3749862597,-99.0128404767",IZTAPALAPA
